"Categoría de producto","Nombre","Precio de venta","Referencia interna"
"Iluminación / Luminarias / Pantallas estancas","Pantalla para 1 tubos de LED 120cm estanca ","15.0","1X120RODA 2217851100"
"Iluminación / Luminarias / Pantallas estancas","Pantalla para 1 tubos de LED 150cm estanca ","25.0","1X150RODA 2217851200"
"Iluminación / Luminarias / Pantallas estancas","Pantalla para 1 tubos de LED 60cm estanca ","11.0","1X60RODA 2217851000"
"Iluminación / Luminarias / Pantallas estancas","Pantalla para 2 tubos de LED 120cm estanca ","20.0","2X120RODA 2217851400"
"Iluminación / Luminarias / Pantallas estancas","Pantalla para 2 tubos de LED 150cm estanca ","24.0","2X150RODA 2217851500"
"Iluminación / Luminarias / Pantallas estancas","Pantalla para 2 tubos de LED 60cm estanca ","13.0","2X60RODA 2217851300"
"Canalización / Minicanal","Minicanal Legrand DLPlus 32x20x2100mm blanco","5.18","32X20 030017"
"Partidas","Pequeño material ( bornas, portalamparas, bombillas etc )","29.95","PEQUEÑO        "
"Mecanismos / Schneider / Elegance","Placa para toma comunicación y datos Schneider Electric Elegance RJ45 1 conector blanco activo","10.29","ELETAPARJ45 MTN469825"
"Mecanismos / Schneider / Elegance","Placa para toma doble de comunicación y datos Schneider Electric Elegance RJ45 2 conectores blanco activo","11.63","ELETAPADOBLERJ45 MTN469925"
"Mecanismos / Simon / Simon 75","Placa y boton dimmer Simon","4.49","RUEDAREG       "
"Mecanismos / BJC / Iris","Placa para toma comunicación y datos BJC Iris RJ11/RJ45 1 conector blanco ","4.59","IRISTAPARJ45 19782"
"Mecanismos / BJC / Iris","Placa para toma comunicación y datos BJC Iris RJ11/RJ45 2 conectores blanco ","5.08","IRISTAPADOBLERJ45 19882"
"Telecom / Datos / Rack","Panel de datos vacío Kommdata 24 conectores RJ45 Instalación en 19""","25.47","PATCH24VACIO 7280030010"
"Iluminación / Bombillas / Portalámparas","Portalamparas bombilla GU10","1.98","PORTAGU10 7258070012"
"Iluminación / Tiras LED / Accesorios","Perfil para colocación tira LED con difusor trasparente precio por metro","13.8","PERFILLED      "
"Iluminación / Luminarias / Proyectores","Proyector SKY-V4 negro 40W 220-240V switch 3000-4000-5000K 4800lm","56.7","SKY40W 4689"
"Cuadros / Accesorios","Placa obturador Eaton NBP-1000 plástico barnizado 55x7mm gris","14.81","OBTURADORAGRIS NBP-1000"
"Mecanismos","Pack conmutador inalámbrico PACK TYXIA 501 con neutro","120.0","TYXIA501 6351407"
