"Categoría de producto","Nombre","Precio de venta","Referencia interna"
"Mecanismos / Legrand / Cetac","Base aérea cetac Legrand P17 Pro 32A 3 polos + tierra + neutro (3P+T+N) 400 V (50+60 Hz) rojo IP44 recto 6h","22.52","CETAC32A3P+N+TTAAF 555219"
"Mecanismos / Legrand / Cetac","Base aérea cetac Legrand P17 Pro 16A 2 polos + tierra (2P+T) 230 V (50+60 Hz) azul IP44 recto 6h","11.57","CETAC16A2P+TTAAF 555104"
"Mecanismos / Legrand / Cetac","Base aérea cetac Legrand P17 Pro 32A 3 polos + tierra (3P+T) 400 V (50+60 Hz) rojo IP44 recto 6h","18.97","CETAC32A3P+TTAAF 555218"
"Mecanismos / Legrand / Cetac","Base mural Legrand P17 Pro 32A 2 polos + tierra (2P+T) 230 V (50+60 Hz) azul IP44 6h","25.09","CETAC32A2P+TTBASE 555254"
"Mecanismos / Legrand / Cetac","Base mural Legrand P17 Pro 16A 3 polos + tierra + neutro (3P+T+N) 400 V (50+60 Hz) rojo IP44 6h","20.15","CETAC16A3P+N+TTBASE 555159"
"Mecanismos / Legrand / Cetac","Base mural Legrand P17 Pro 16A 3 polos + tierra (3P+T) 400 V (50+60 Hz) rojo IP44","18.02","CETAC16A3P+TTBASE 555158"
"Mecanismos / Legrand / Cetac","Base mural Legrand P17 Pro 32A 3 polos + tierra + neutro (3P+T+N) 400 V (50+60 Hz) rojo IP44 6h","29.76","CETAC32A3P+N+TTBASE 555259"
"Mecanismos / Legrand / Cetac","Base mural Legrand P17 Pro 16A 2 polos + tierra (2P+T) 230 V (50+60 Hz) azul IP44 6h","18.44","CETAC16A2P+TTBASE 555154"
"Mecanismos / Legrand / Cetac","Clavija cetac Legrand P17 Pro 32A 3 polos + tierra + neutro (3P+T+N) recto 6h 400 V (50+60 Hz) rojo IP44","16.94","CETAC32A3P+N+TTAAM 555239"
"Mecanismos / Legrand / Cetac","Clavija cetac Legrand P17 Pro 32A 2 polos + tierra (2P+T) recto 6h 230 V (50+60 Hz) azul IP44","13.02","CETAC32A2PTTAAM 555234"
"Mecanismos / Legrand / Cetac","Clavija cetac Legrand P17 Pro 16A 3 polos + tierra (3P+T) recto 6h 400 V (50+60 Hz) rojo IP44","8.67","CETAC16A3PTTAAM 555128"
"Iluminación / Telerruptores","Telerruptor electrónico modular SERIE 13, montaje carril 35mm, ancho 17,5mm, 1 contacto, 230V AC","68.0","FINDERTELERRUPTOR 138182300000"
"Cableado / K-Flex negro","K-FLEX color negro 5X6mm2","17.35","K5X6"
"Cuadros / Protecciones / Hager","Minutero Hager EMN escalera 0,5-10min 16A 230V","92.66","MINUH EMN001"
"Cuadros / Protecciones / Hager","Contactor modular para cuadro de distribución Hager ESC 63A 4NA 230V AC","371.71","CONTACTORH463A ESC463"
"Mecanismos / Hager / Berker K1","Toma de comunicación y datos Hager Berker RJ45 8(8) categoria 6","30.7","K1RJ45 455401"
"Mecanismos / Hager / Berker K1","Tecla para mecanismos Hager Berker K.1/K.5 tecla basculante simple sin impresión blanco polar","3.4","K1TECLA 14057009"
"Mecanismos / Hager / Berker K1","Tapa para mecanismos Hager Berker K.1/K.5 para placa ciega blanco polar IP44","14.77","K1CIEGA 10457009"
"Mecanismos / Hager / Berker K1","Tapa para mecanismos Hager Berker K.1/K.5 para antena de televisión blanco polar","7.23","K1TAPATV 12017019"
"Mecanismos / Hager / Berker K1","Placa para toma comunicación y datos Hager Berker K.1/K.5 RJ45 1 conector blanco polar","7.67","K1TAPARJ45 14077009"
"Mecanismos / Hager / Berker K1","Marco para mecanismos Hager Berker K.1/K.5 5 elementos horizontal blanco polar","16.77","K1M5 13937009"
"Mecanismos / Legrand / Cetac","Base mural Legrand P17 Pro 32A 3 polos + tierra (3P+T) 400 V (50+60 Hz) rojo IP44 6h","26.92","CETAC32A3P+TTBASE 555258"
"Mecanismos / Legrand / Cetac","Clavija cetac Legrand P17 Pro 32A 3 polos + tierra (3P+T) recto 6h 400 V (50+60 Hz) rojo IP44","15.12","CETAC32A3P+TTAAM 555238"
"Mecanismos / Legrand / Cetac","Clavija cetac Legrand P17 Pro 32A 2 polos + tierra (2P+T) recto 6h 230 V (50+60 Hz) azul IP44","13.02","CETAC32A2P+TTAAM 555234"
"Mecanismos / Legrand / Cetac","Clavija cetac Legrand P17 Pro 16A 3 polos + tierra + neutro (3P+T+N) recto 6h 400 V (50+60 Hz) rojo IP44","10.69","CETAC16A3P+N+TTAAM 555129"
"Mecanismos / Legrand / Cetac","Clavija cetac Legrand P17 Pro 16A 2 polos + tierra (2P+T) recto 6h 200-250 V (50+60 Hz) azul IP44","7.82","CETAC16A2P+TTAAM 555124"
"Mecanismos / Legrand / Cetac","Clavija cetac Legrand P17 Pro 16A 3 polos + tierra (3P+T) recto 6h 400 V (50+60 Hz) rojo IP44","8.67","CETAC16A3P+TTAAM 555128"
"Cuadros / Protecciones / Hager","Interruptor diferencial Hager 63A 2P 30mA","858.42","DIF263H CDC263M"
"Telecom / Accesorios","Latiguillo fibra óptica SC/APC - SC/APC 9/125 10 metros.","10.27","FIBRA10"
"Telecom / Accesorios","Latiguillo fibra óptica SC/APC - SC/APC 9/125 5 metros.","6.4","FIBRA5"
"Mecanismos / Simon / Simon K45","Caja para puesto de trabajo superficie Simon Gama K45 1 columnas 1 módulos acero inoxidable KSE1/23/72","125.79","K45  KSE1/23/72"
"Telecom / Accesorios","TP-Link TL-SG105 - Switch gigabit 5 Puertos 10/100/1000 Mb.","25.68","MULTISWICH5"
"Iluminación / Bombillas","Ledvance VALUE CLASSIC A FIL 60 lámpara led E27 6,5W 2700K 806lm 300° filamento clara","4.75","STANDARLED 4099854476495"
"Telecom / Accesorios","TP-Link TL-SG108 V3.0, Switch de Escritorio Red (10/100/1000 Mbps) 8 Puertos.","31.22","MULTISWITCH8"
"Iluminación / Luminarias / Apliques","B&F Mac Wall 15W switch 2700K/3200K/4000K dimable 180 IP65","61.76","MACWALL15"
"Mecanismos / Simon / Simon K45","Caja para instalación en suelo Simon Gama K45 2 módulos gris KGE170/23","35.0","K45CAJASUELO"
"Iluminación / Bombillas","Bombilla Regulable PHILIPS MASTER LED SPOT VLE D 4.9-50W GU10 36D 930","12.57","GU10PHREG  70787600"
"Cableado / Conexiones","Borna de distribución Tekox Serie BD BD 50 1 polos 50 mm","10.7","TEK50 BD50"
"Mecanismos / Schneider / New Unica","Caja para puesto de trabajo superficie Schneider Electric New Unica 4 columnas 16 módulos blanco","42.88","UNICAPT8SUP NUPT8SUP NU124418"
"Mecanismos / Schneider / New Unica","Toma de corriente doble horizontal y vertical Schneider Electric New Unica schuko rojo","19.2","UNICAENDOBLEROJO NUENDOBLEROJO NU306703A"
"Canalización / Tubo H / Accesorios","Curva tubería instalación de cables PVC Ø25mm abocardado rígido IP40","2.27","H25CURVARIG 245.2500.0"
"Canalización / Tubo H / Accesorios","Curva tubería instalación de cables PVC Ø20mm enchufable plegable IP64","3.97","H20CURVAFLEX 233.2000.0"
"Canalización / Tubo H / Accesorios","Curva tubería instalación de cables PVC Ø32mm enchufable plegable IP64","9.13","H32CURVAFLEX 233.3200.0"
"Canalización / Tubo H / Accesorios","Curva tubería instalación de cables PVC Ø16mm enchufable plegable IP64","3.26","H16CURVAFLEX 233.1600.0"
"Canalización / Tubo H / Accesorios","Curva tubería instalación de cables PVC Ø25mm enchufable plegable IP64","5.71","H25CURVAFLEX 233.2500.0"
"Mecanismos / Schneider / New Unica","Caratula RJ45 2 módulos Keystone polar","6.12","NUTAPARJ45 NUCARATULARJ45 UNICARJ45 NU946118"
"Mecanismos / Schneider / New Unica","Caja de superficie para mecanismo empotrable Schneider Electric New Unica 2 elementos horizontal blanco","12.38","UNICAZ2 NUZ2 NU800418"
"Mecanismos / Schneider / New Unica","Conmutador Schneider Electric New Unica 10A tecla basculante blanco polar","5.08","UNICACON NUCON NU320318"
"Mecanismos / Schneider / New Unica","Cruzamiento Schneider Electric New Unica 10A blanco polar","14.11","UNICACRUCE NUCRUCE NU320518"
"Mecanismos / Schneider / New Unica","Pulsador botón pulsador Schneider Electric New Unica sin impresión blanco polar","6.57","UNICAPUL NUPUL NU320618"
"Mecanismos / Schneider / New Unica","Soporte para mecanismos Schneider Electric New Unica 1 módulo plástico blanco","0.82","UNICABAST NUBAST NU7002P"
"Mecanismos / Schneider / New Unica","Toma de corriente horizontal y vertical Schneider Electric New Unica schuko blanco polar","6.01","UNICAEN NUEN NU303718"
"Domotica / Wiser","Gateway Wiser by SE","246.54","WISERHUB  CCT501901"
"Domotica / Wiser","Micromódulo interruptor ON/OFF Wiser","94.35","WISERONOFF CCT5011-0002W"
"Domotica / Wiser","Micromódulo regulador multicable Wiser","108.74","WISERREG CCT5010-0003"
"Domotica / Wiser","Micromódulo de potencia Wiser","121.42","WISERPOTENCIA CCTFR6730"
"Mecanismos / Schneider / New Unica","Marco para mecanismos Schneider Electric New Unica Studio 2 elementos horizontal y vertical blanco polar","4.26","UNICAM2 NUM2 NU200418"
"Mecanismos / Schneider / New Unica","Marco para mecanismos Schneider Electric New Unica Studio 1 elemento horizontal y vertical blanco polar","2.36","UNICAM1 NUM1 NU200218"
"Mecanismos / Simon / Simon 82","Marco para mecanismos Simon Serie 82 3 elementos horizontal y vertical blanco nieve","12.15","S82M3 82630-30"
"Mecanismos / Hager / Berker K1","Caja salida de cables Hager Berker empotrable tabique hueco metal 283mm IP20 con Tapa para mecanismos Hager Berker K.1/K.5 para salida de cable blanco polar","14.36","K1SALIDA 4470 10057009"
"Mecanismos / Hager / Berker K1","Toma de comunicación y datos Hager Berker 2x RJ45 8(8) categoria 6","39.5","K1RJ45DOBLE 455501"
"Mecanismos / Legrand / Plexo","Interruptor bipolar Legrand Plexo 16A gris estanco (IP55)","21.74","PLEXOBIPOLAR 069527"
"Mecanismos / Simon / Simon 27","Pulsador tecla basculante Simon Serie 27 Play sin impresión blanco","7.8","S27PUL 27659-65"
"Partidas","Cuadro general de protección. Consta de : Magnetotérmico general de 40A, 2 diferenciales y 8 circuitos. Los circuitos son : alumbrado, fuerza general, fuerza cocina/baño, vitro/horno, lavadora, secadora, lavavajillas, termo. Todas las protecciones necesarias y no descritas en esta partida se facturarán aparte.","923.57","CUADRO         "
"Mecanismos / Legrand / Cetac","Base aérea cetac Legrand P17 Pro 16A 3 polos + tierra + neutro (3P+T+N) 400 V (50+60 Hz) rojo IP44 recto 6h","15.72","CETAC16A3P+N+TTAAF 555109"
"Mecanismos / Simon / Simon 31","Interruptor unipolar Simon Serie 31 10A blanco","16.79","S31INT 31101-30"
"Mecanismos / Schneider / Mureva","Marco para mecanismos Schneider Electric Mureva Styl 1 elemento horizontal y vertical estanco (IP55)","10.88","MUM1 MUR34107"
"Cableado / Unifilar","Hilo libre de halógenos  10 mm2","7.46","A10            "
"Telecom / Televisión / Derivadores","Repartidor para armario de distribución Legrand 2 polos 100A 10 conexiones","48.86","REPAR400402"
"Telecom / Accesorios","Latiguillo para conexión de datos Kommdata U/UTP cat6A 1m libre de halógenos (LHA) gris","4.2","LATIGUILLO1M 7280020220"
"Partidas","Toma de antena mecanismo básico completamente instalada, incluyendo tubo, cable coaxial, con cubierta blanca de gama media.","83.5","PTV"
"Iluminación / Bombillas","Ledvance PERFORMANCE CLASSIC A lámpara led E27 19W 2700K 2452lm 360°","14.59","TOLEDO2.0 7001627528"
"Iluminación / Luminarias / Pantallas estancas","Pantalla WT050C 1xTLED L1500 Philips","27.86","1X150PH 36604399"
"Iluminación / Luminarias / Pantallas estancas","Pantalla WT050C 2xTLED L1500 Philips","30.96","2X150PH 36605099"
"Iluminación / Luminarias / Pantallas estancas / Tubos LED","Lámpara CorePro LEDtube 1500mm 20W T8","8.9","TL150PH 45983000"
"Iluminación / Luminarias / Pantallas estancas / Tubos LED","Celer tubo LED T8 Security Glass C5 , 19W, 1500mm, 300°, 2700lm","10.47","TL150CELER 7000000307"
"Partidas","Linea de 6mm para Vitro bajo tubo forroplast de 25mm completamente instalado","82.8","LV             "
"Partidas","Linea de 2'5mm para Termo bajo tubo forroplast de 25mm completamente instalado","36.5","LT             "
"Partidas","Linea de 2'5mm para Secadora bajo tubo forroplast de 25mm completamente instalado","36.5","LSECA          "
"Partidas","Linea de 6mm para Horno en tubo forroplast de 25mm completamente instalado.","82.8","LH             "
"Canalización / Forro verde","Tubo flexible una capa Gewiss verde Ø 40mm","2.98","FORROV40 DX15240R"
"Iluminación / Luminarias / Emergencias","Luminaria de emergencia Legrand Ura 21 LED Plus LED integrado 350lm 1h IP42 permanente/ no permanente","113.77","350LM 661607PL"
"Iluminación / Luminarias / Pantallas estancas / Tubos LED","Celer tubo LED T8 Security Glass C5 , 15W, 1200mm, 300° 2200lm","8.86","TL120CELER 7000000304"
"Iluminación / Luminarias / Pantallas estancas","Pantalla estanca Celer tubo LED intercambiable sin tubos 1x1500mm","27.9","1X150CELER 7100070105"
"Iluminación / Luminarias / Pantallas estancas","Pantalla estanca Celer tubo LED intercambiable sin tubos 1x600mm","14.1","1X60CELER 7100070101"
"Iluminación / Luminarias / Pantallas estancas","Pantalla estanca Celer tubo LED intercambiable sin tubos 2x1200mm","30.75","2X120CELER 7100070104"
"Iluminación / Luminarias / Pantallas estancas","Pantalla estanca Celer tubo LED intercambiable sin tubos 2x1500mm","37.95","2X150CELER 7100070106"
"Iluminación / Luminarias / Pantallas estancas","Pantalla estanca Celer tubo LED intercambiable sin tubos 2x600mm","18.4","2X60CELER 7100070102"
"Iluminación / Detectores","Detector de movimiento BEG techo empotrable Ø8/2,5m 360° blanco con mando BL2-FT","64.85","BEG360TECHO 93317"
"Cajas / Acometida / Módulos","Modulo contador monofásico con fusibles UTE","115.0","MONOUTE        "
"Cuadros / Protecciones / Hager","Interruptor automático magnetotérmico industrial Hager HM C100 4P 10kA","846.14","4100AH HMF490"
"Cuadros / Protecciones / Hager","Interruptor automático magnetotérmico industrial Hager HM C80 4P 10kA","808.91","480AH HMF480"
"Cuadros / Protecciones / Hager","Interruptor automático magnetotérmico terciario Hager ML C10 1P+N 6kA","82.24","DPN10H MLU510"
"Cuadros / Protecciones / Hager","Interruptor automático magnetotérmico terciario Hager ML C16 1P+N 6kA","83.81","DPN16H MLU516"
"Cuadros / Protecciones / Hager","Interruptor automático magnetotérmico terciario Hager ML C20 1P+N 6kA","85.9","DPN20H MLU520"
"Cuadros / Protecciones / Hager","Interruptor automático magnetotérmico terciario Hager ML C25 1P+N 6kA","87.99","DPN25H MLU525"
"Cuadros / Protecciones / Hager","Interruptor automático magnetotérmico industrial Hager HM C125 4P 10kA","888.16","4125AH  HMF499"
"Cuadros / Protecciones / Legrand","Interruptor automático magnetotérmico terciario Legrand TX3 C32 1P+N 6kA","90.18","232AL 403589"
"Cuadros / Protecciones / Legrand","Interruptor automático magnetotérmico terciario Legrand TX3 C16 1P+N 6kA","38.83","216AL 403586"
"Cuadros / Protecciones / Legrand","Interruptor automático magnetotérmico terciario Legrand TX3 C25 1P+N 6kA","40.73","225AL 403588"
"Iluminación / Detectores","Detector de movimiento Schneider Electric Argus mural montaje en superficie para tabique hueco Ø12/2,5m 360° blanco","129.29","DETECTORSUP360 CCT56P008"
"Iluminación / Detectores","Detector de movimiento Orbis Dicromat Micro techo empotrable Ø4/2,5m 360° blanco ","135.55","SENSORMINI OB133612"
"Iluminación / Detectores","Detector de presencia Legrand Mosaic techo empotrable Ø8/2,5m 360° blanco con mando","105.92","DETECTOREMP360 048941"
"Cableado / K-Flex negro","K-FLEX color negro 1x35mm2","17.55","K1X35"
"Cableado / K-Flex negro","K-FLEX color negro 1x10mm2","5.2","K1X10"
"Cableado / K-Flex negro","K-FLEX color negro 1x70mm2","34.37","K1X70"
"Cableado / K-Flex negro","K-FLEX color negro 2x1'5mm2","2.47","K2X1'5         "
"Cableado / K-Flex negro","K-FLEX color negro 2x2'5","3.63","K2X2'5"
"Cableado / K-Flex negro","K-FLEX color negro 2x6mm2","5.54","K2X6           "
"Cableado / K-Flex negro","K-FLEX color negro 3X1'5mm2","3.21","K3X1'5         "
"Cableado / K-Flex negro","K-FLEX color negro 3X10mm2","17.6","K3X10          "
"Cableado / K-Flex negro","K-FLEX color negro 3X16mm2","25.15","K3X16"
"Cableado / K-Flex negro","K-FLEX color negro 3X2'5mm2","4.86","K3X2'5         "
"Cableado / K-Flex negro","K-FLEX color negro 3X4mm2","5.42","K3X4           "
"Cableado / K-Flex negro","K-FLEX color negro 4X1'5mm2","4.11","K4X1'5         "
"Cableado / K-Flex negro","K-FLEX color negro 4X16mm2","32.42","K4X16          "
"Cableado / K-Flex negro","K-FLEX color negro 5x1'5mm2","4.6","K5X1'5         "
"Cableado / K-Flex negro","K-FLEX color negro 5x2'5mm2","7.04","K5X2'5         "
"Iluminación / Luminarias / Proyectores","Foco LED Ledvance 50W IP65","46.65","LEDVANCE50     "
"Cableado / K-Flex verde","Manguera libre de halógenos 2x1'5mm2","3.35","A2X1'5         "
"Canalización / Minicanal","Minicanal Legrand DLPlus 20x12,5x2100mm blanco","2.22","20X12 030008"
"Canalización / Minicanal / Accesorios","Caja de derivación para minicanal Legrand DLPlus 175x110x70mm blanco","13.22","CDM3 636377"
"Canalización / Minicanal / Accesorios","Caja de derivación para minicanal Legrand DLPlus 140x85x40mm blanco","11.99","CDM2 636376"
"Iluminación / Reguladores","Regulador modular con potenciómetro incorporado RE EL1 LE3 ","101.63","REEL1LE3"
"Iluminación / Reguladores","Regulador de pastilla Dinuy corte de fase TRIAC 350W RE PLA LE1","76.61","REPLALE1"
"Iluminación / Reguladores","Regulador de tira de LED  24V Dinuy RE PLA LE2","84.13","REPLALE2       "
"Iluminación / Reguladores","Regulador de tira de LED 230v Dinuy RE PLA LE3","79.51","REPLALE3"
"Cableado / K-Flex verde","Manguera libre de halógenos 2x2'5mm2","4.6","A2X2'5"
"Cableado / K-Flex verde","Manguera libre de halógenos 3X1'5mm2","4.0","A3X1'5         "
"Cableado / K-Flex verde","Manguera libre de halógenos 3X2'5mm2","5.65","A3X2'5         "
"Cableado / K-Flex verde","Manguera libre de halógenos 3x16mm","27.42","A3X16"
"Cableado / K-Flex verde","Manguera libre de halógenos 3x6mm2","11.99","A3X6           "
"Cableado / K-Flex verde","Manguera libre de halógenos 4x10mm2","18.09","A4X10          "
"Cableado / K-Flex verde","Manguera libre de halógenos 5x16mm2","43.82","A5X16          "
"Cableado / K-Flex verde","Manguera libre de halógenos 5x6mm2","19.13","A5X6           "
"Cableado / K-Flex verde","Manguera libre halógenos 4x1'5mm2","5.1","A4X1'5"
"Cableado / K-Flex verde","Manguera libre halógenos 4x2'5mm2","7.33","A4X2'5"
"Cableado / K-Flex verde","Manguera libre halógenos 5x1'5mm2","6.24","A5X1'5"
"Cableado / K-Flex verde","Manguera libre halógenos 5x2'5mm2","9.05","A5X2'5"
"Canalización / Tubo H / Accesorios","Racor roscado libre de halógenos M40 IP67 gris","5.33","RACORH40 243.4000.0"
"Canalización / Binke / Accesorios","Racor RGp giratorio, de poliamida para montaje de tubos flexibles, M25(DN16). En color Gris RAL 7001.","3.12","RACORBIN25 35011250"
"Canalización / Binke / Accesorios","Racor RGp giratorio, de poliamida para montaje de tubos flexibles, M32(DN21). En color Gris RAL 7001.","5.4","RACORBIN32 35011320"
"Cableado / Accesorios","Prensaestopas IRIS de poliamida 6 autoextinguible, M25, cable 13/18 mm en color Gris RAL 7035","2.21","RACORCABLE25 21041250"
"Cableado / Accesorios","Prensaestopas IRIS de poliamida 6 autoextinguible, M32, cable 18/25 mm en color Gris RAL 7035","4.2","RACORCABLE32 21041320"
"Cableado / Paralelo","Hilo paralelo ( rojo y negro ) 2X1mm2","1.41","PARALELO2X1 7272030050"
"Cableado / Paralelo","Hilo paralelo ( rojo y negro ) 2x0.75mm2","1.22","PARALELO2X0.75 7272030040"
"Cuadros / Protecciones / Hager","Interruptor diferencial Hager 40A 2P 30mA clase A Serie CDH superinmunizado","488.13","SIH CDH240M"
"Cuadros / Protecciones / Hager","Interruptor diferencial Hager 40A 4P 300mA clase AC Serie CFC","467.98","DIF440300H CFC742J"
"Cuadros / Protecciones / Hager","Interruptor diferencial Hager 25A 2P 30mA clase AC Serie CDC","117.0","DIF225H CDC728M"
"Mecanismos / Legrand / Clavijas aéreas","Clavija con toma de tierra schuko Legrand 050316 2 polos + tierra (2P+T) 16A 250V blanco","3.67","MACHOBLANCO 050316"
"Mecanismos / Legrand / Mosaic","Caja para instalación en suelo Legrand Mosaic 2 módulos gris con 2 Toma de corriente horizontal y vertical Legrand Mosaic schuko blanco","157.49","ENSUELODOBLE 089702 077213"
"Ventilación / Extractores","Extractor baño SILENT-100-CZ 8W 2100rpm","85.54","SILENT100CZ12V 5210400700"
"Partidas","Trabajo a realizar","0.0","TRABAJO        "
"Partidas","Trabajos realizados","0.0","TRABAJOS       "
"Partidas","Tramitaciones y legalización","495.0","TRAMITACIONES"
"Iluminación / Tiras LED / Nexia","Tira de Led 19.2W mt Blanco regulable","17.41","TIRALED19'2"
"Partidas","Cuadro general de protección. Consta de : Protección contra sobretensiones permanentes, magnetotérmico general de 40A, 2 diferenciales y 8 circuitos. Los circuitos son : alumbrado, fuerza general, fuerza cocina/baño, vitro/horno, lavadora, secadora, lavavajillas, termo. Todas las protecciones necesarias y no descritas en esta partida se facturarán aparte.","1032.24","CUADROST CUADROSOBRE"
"Canalización / Tubo H","Tubo PVC para instalación de cables enchufable 14,1x20mm rigido gris","3.03","H20 TH20 6201000020"
"Canalización / Tubo H","Tubo PVC para instalación de cables enchufable 18,3x25mm rigido gris","3.99","H25 TH25 6201000025"
"Canalización / Tubo H","Tubo PVC para instalación de cables enchufable 25,3x32mm rigido gris","5.55","H32 TH32 6201000032"
"Canalización / Tubo H","Tubo PVC para instalación de cables enchufable 31,2x40mm rigido gris","8.3","H40 TH40 6201000040"
"Canalización / Tubo H","Tubo PVC para instalación de cables enchufable 39,6x630mm rigido gris","14.79","H63 TH63 6201000063"
"Mecanismos / Legrand / Clavijas aéreas","Base enchufe Legrand plástico 2 polos + tierra (2P+T) blanco","6.21","HEMBRABLANCO 050317"
"Mecanismos / Legrand / Clavijas aéreas","Clavija con toma de tierra schuko Legrand 2 polos + tierra (2P+T) 16A 250V negro","8.67","MACHONEGRO 050328"
"Partidas","Base de toma de corriente 25 A.","120.1","BEN25A"
"Partidas","Intervención mínima","55.0","INTERVENCION MINIMA"
"Cuadros / Protecciones / Hager","Interruptor diferencial 2P 40A 30mA tipo A","164.5","DIF240HA CDA740R DIF240HTIPOA"
"Cuadros / Protecciones / Hager","Interruptor automático magnetotérmico con protección de sobretensiones Hager SP G 40A 2p 230V ","211.0","ST240AH SP240G"
"Canalización / Tubo H","Tubo PVC para instalación de cables enchufable 39,6x50mm rigido gris","11.0","H50 TH50 6201000050"
"Partidas","Servicio de elevador para trabajos en altura por día","70.0","ELEVADOR"
"Cuadros / Accesorios / Bornas Rail","Borna rail Tekox 16mm² Neutro/Fase","2.32","BR16 BRC16 BRC16A"
"Partidas","Valoración DUA IVA 21 %","1.0","DUA21"
"Partidas","Valoración DUA IVA 10 %","1.0","DUA10"
"Partidas","Valoración DUA IVA 4 %","1.0","DUA4"
"Mecanismos / Schneider / New Unica","Interruptor unipolar Schneider Electric New Unica 10A blanco polar","4.67","UNICAINT NUINT NU320118"
"Partidas","Varios","0.0","1"
"Canalización / Minicanal / Accesorios","Caja de derivación para minicanal Unex Serie 73 U24X 110x150x74mm gris claro","14.68","CAJAUNEX110X150G 73461-04"
"Telecom / Datos / Rack","Armario RACK Kommdata mural 600x450mm 12U 482,6 mm (19"") con bastidor fijo negro (RAL 9004)","199.31","RACK 7300020012"
"Iluminación / Luminarias / Jardín","Foco piscina IEP ","116.17","FOCOPISCINA    "
"Iluminación / Accesorios","Transformador 50W 12V","9.0","TRANS          "
"Domotica / Wiser","Actuador de cierre para sistema de bus Schneider Electric 1 salida persiana 220-240AC","94.12","WISERPERSIANA CCT5015-0002W"
"Cuadros / Accesorios / Bornas Rail","Borna rail Tekox 16mm² TT","10.22","BR16TT BRT16"
"Cuadros / Accesorios / Bornas Rail","Borna rail Tekox 10mm² TT","9.58","BR10TT BRT10"
"Iluminación / Luminarias / Downlights","Downlight LED Celer Alus redondo corte Ø200mm 25W 5500K 3300lm estanco (IP44) no dimable blanco","55.2","AWAUTO FOCOAWAUTO"
"Cuadros / Accesorios / Bornas Rail","Borna rail Tekox 10mm² Neutro/Fase","2.02","BR10 BRC10 BRC10A"
"Cuadros / Accesorios / Bornas Rail","Borna rail Tekox 25/35mm² Neutro/Fase","4.13","BR35 BRC25/35 BRC25/35A"
"Cuadros / Accesorios / Bornas Rail","Borna rail Tekox 50/70mm² Neutro/Fase","15.26","BR70 BRC50/70 BRC50/70A"
"Cuadros / Accesorios / Bornas Rail","Placa final Tekox hasta 10mm² gris","0.63","PBR10 PRC6/10"
"Cuadros / Accesorios / Bornas Rail","Placa final Tekox hasta 35mm² gris","0.78","PBR35 PRC25/35"
"Cuadros / Accesorios / Bornas Rail","Borna rail Tekox 25/35mm² TT","11.24","BR35TT BRT25/35"
"Cuadros / Accesorios / Bornas Rail","Placa final Tekox hasta 16mm² gris","0.69","PBR16 PRC16"
"Cuadros / Accesorios / Bornas Rail","Borna rail Tekox 50/70mm² TT","16.05","BR70TT BRT50/70"
"Partidas","2 puntos de zumbador con mecanismo de gama media completo y zumbador instalado con hilo 1'5mm2","191.33","PLTX2"
"Iluminación / Luminarias / Downlights","Panel LED PHILIPS 600x600mm 4000K no dimable blanco","50.05","PANEL60X60"
"Cuadros / Accesorios","Contador de energía monofásico Saci medición directa clase A 80ln","63.16","SACIMONO YM2DL13301"
"Canalización / Tubo H / Accesorios","Curva tubería instalación de cables PVC Ø40mm abocardado rígido IP40","4.34","H40CURVARIG 245.4000.0"
"Cableado / Conexiones","Borna de distribución Schneider Electric PanelSeT CRN 1 polos 50 mm","15.77","SIGMA50 NSYS50"
"Mecanismos / Hager / Berker K1","Conmutador Hager Berker 10A tecla basculante","6.0","K1CON 3036"
"Iluminación / Bombillas","Ledvance SUPERIOR CLASSIC P DIM FIL 40 lámpara led regulable E27 4,2W 2700K 470lm 300° filamento","6.8","STANDARPETITALED 4099854077968 ESFERICA"
"Canalización / Acero","Manguito tubería instalación de cables acero enchufable Ø20mm gris","2.14","ACEROMANG20 6203001120"
"Cableado / K-Flex verde","Manguera libre de halógenos 5x25mm2","73.63","A5X25"
"Cableado / K-Flex verde","Manguera libre de halógenos 5x35mm2","106.27","A5X35"
"Mecanismos / Simon / Simon 82","Marco para mecanismos Simon Serie 82 1 elemento horizontal y vertical blanco nieve","4.35","S82M1 82610-30"
"Cableado / Trenzado","Trenzado de cobre 2x6mm2","9.31","TREN2X6"
"Cuadros / Protecciones / Hager","Interruptor automático magnetotérmico con protección de sobretensiones Hager SP G 63A 4p 400V ","716.3","ST463AH SP463G"
"Canalización / Minicanal / Accesorios","Caja de derivación para minicanal Unex Serie 40 U48X 110x110x45mm blanco libre de halógenos (LHA)","11.37","CAJAUNEX110X110 40031-42"
"Telecom / Datos / Rack","Bastidor Rack pared 19"" 3U","45.9","RACKPARED"
"Canalización / Minicanal / Accesorios","Caja de derivación para minicanal Unex Serie 40 U48X 110x150x65mm blanco libre de halógenos (LHA)","14.61","CAJAUNEX110X150X65 40042-42"
"Partidas","Desplazamiento","10.0","DES            "
"Cableado / K-Flex negro","K-FLEX color negro 5X10mm2","29.01","K5X10"
"Cableado / K-Flex negro","K-FLEX color negro 5X16mm2","41.12","K5X16"
"Canalización / Minicanal","Minicanal Legrand DLPlus 40x20x2100mm blanco","7.3","CANAL40X20 030027"
